index,Tair,RH,Wind,SolRad,Rain,Tsoil
2010-09-01 00:00:00,27.3,79.0,4.8,0.0,0.0,25.4
2010-09-01 01:00:00,26.9,80.0,4.6,0.0,0.0,25.0
2010-09-01 02:00:00,27.3,77.0,5.9,0.0,0.0,24.9
2010-09-01 03:00:00,27.3,77.0,7.0,0.0,0.0,25.0
2010-09-01 04:00:00,27.2,78.0,6.1,0.0,0.0,25.1
2010-09-01 05:00:00,27.4,76.0,7.1,0.0,0.0,25.0
2010-09-01 06:00:00,27.1,77.0,7.3,0.0,0.0,24.9
2010-09-01 07:00:00,27.3,77.0,7.7,36.14,0.0,25.4
2010-09-01 08:00:00,27.4,77.0,8.0,111.2,0.0,26.6
2010-09-01 09:00:00,27.8,75.0,9.8,164.01999999999998,0.0,26.9
2010-09-01 10:00:00,28.1,75.0,9.9,202.94,0.5,28.2
2010-09-01 11:00:00,28.1,77.0,10.9,341.94,0.0,29.5
2010-09-01 12:00:00,27.7,78.0,10.7,161.23999999999998,0.0,27.0
2010-09-01 13:00:00,26.1,88.0,10.1,52.82,0.5,25.9
2010-09-01 14:00:00,25.8,93.0,11.5,75.06,8.5,26.4
2010-09-01 15:00:00,25.1,90.0,13.6,136.22,1.5,25.8
2010-09-01 16:00:00,25.3,87.0,14.8,86.17999999999999,2.0,25.2
2010-09-01 17:00:00,25.8,90.0,14.8,52.82,1.0,25.4
2010-09-01 18:00:00,26.0,87.0,16.5,44.48,1.0,25.2
2010-09-01 19:00:00,26.6,85.0,20.5,19.46,0.5,25.4
2010-09-01 20:00:00,27.0,83.0,21.0,8.34,0.5,25.4
2010-09-01 21:00:00,26.7,85.0,19.8,0.0,0.0,25.5
2010-09-01 22:00:00,26.5,85.0,16.4,0.0,0.0,25.4
2010-09-01 23:00:00,26.2,88.0,15.1,0.0,0.0,25.4
2010-09-02 00:00:00,25.5,93.0,9.9,0.0,2.0,25.3
2010-09-02 01:00:00,25.4,93.0,8.0,0.0,1.5,25.2
2010-09-02 02:00:00,24.6,94.0,9.5,0.0,7.5,24.6
2010-09-02 03:00:00,24.8,94.0,7.8,0.0,7.5,24.6
2010-09-02 04:00:00,24.9,94.0,8.8,0.0,6.5,24.6
2010-09-02 05:00:00,25.0,94.0,7.1,0.0,1.5,24.8
2010-09-02 06:00:00,25.2,94.0,6.4,0.0,4.0,24.7
2010-09-02 07:00:00,25.4,93.0,4.9,22.24,0.0,25.2
2010-09-02 08:00:00,25.3,93.0,4.9,55.6,1.5,25.4
2010-09-02 09:00:00,25.3,93.0,5.5,63.940000000000005,1.5,25.8
2010-09-02 10:00:00,25.4,92.0,2.9,130.66,1.0,26.6
2010-09-02 11:00:00,26.7,87.0,2.7,314.14,0.0,31.9
2010-09-02 12:00:00,27.8,83.0,2.9,875.6999999999999,0.0,39.8
2010-09-02 13:00:00,29.0,81.0,3.1,967.44,0.0,41.8
2010-09-02 14:00:00,28.0,83.0,4.7,781.1800000000001,0.0,36.3
2010-09-02 15:00:00,28.6,80.0,5.5,647.74,0.0,36.6
