time,initial_leaf_ratio,potential_leaf_area_increase (cm²),shoot_carbon (g d⁻¹),root_carbon (g d⁻¹),leaf_carbon (g d⁻¹),sheath_carbon (g d⁻¹),scape_carbon (g d⁻¹),bulb_carbon (g d⁻¹),nonstructural_carbon_mass (g),agefn,initial_seed_mass (g),seed_mass_export_limit (% d⁻¹),seed_mass_export_rate (g d⁻¹),seed_mass (g),total_sheath_mass (g),initial_leaf_mass (g),active_leaf_mass (g),dropped_leaf_mass (g),total_leaf_mass (g),root_mass (g),leaf_mass (g),sheath_mass (g),scape_mass (g),visible_scape_mass (g),bulb_structural_mass (g),bulb_mass (g),stalk_mass (g),shoot_mass (g),total_mass (g),living_root_mass (g),living_leaf_mass (g),living_sheath_mass (g),living_stalk_mass (g),living_shoot_mass (g),living_total_mass (g),potential_carbon_demand (g),PD (m⁻²),leaf_area (cm²),green_leaf_area (cm²),green_leaf_ratio,LAI,actual_green_leaf_area (cm²),senescent_leaf_area (cm²),potential_leaf_area (cm²),dropped_leaf_area (cm²),leaves_initiated,leaves_appeared,leaves_growing,leaves_mature,leaves_dropped,leaves_fresh,primordia,shoot_to_root_ratio,root_to_shoot_ratio,leaf_to_stem_ratio,stem_to_leaf_ratio,C_to_CH2O_ratio,assimilation (g d⁻¹),dp,C_conc,carbon_reserve_from_seed (g d⁻¹),carbon_reserve (g),carbon_translocation (g d⁻¹),carbon_pool (g),nonstructural_carbon (g),carbon_supply (g d⁻¹),carbon_temperature_effect,carbon_growth_factor (hr⁻¹),carbon_translocating,carbon_translocation_rate (hr⁻¹),carbon_supply_rate (hr⁻¹),Rm (d⁻¹),maintenance_respiration (g d⁻¹),carbon_available (g d⁻¹),Yg,total_carbon (g d⁻¹),water_supply (g hr⁻¹),CO2_weight (g mol⁻¹),C_weight (g mol⁻¹),CH2O_weight (g mol⁻¹),H2O_weight (g mol⁻¹),CH2O_to_C_ratio,PD0 (m⁻²),CDSF (K⁻¹),CDCT (°C),enable_cold_damage,CDM (d⁻¹),CDS,leaf_width (cm),LWP (MPa),evapotranspiration_supply (mol m⁻² s⁻¹),LAI_sunlit,LAI_shaded,Q_sun (μmol m⁻² s⁻¹),Q_sh (μmol m⁻² s⁻¹),A_gross (μmol m⁻² s⁻¹),A_net (μmol m⁻² s⁻¹),ET (mmol m⁻² s⁻¹),gross_assimilation (g d⁻¹),net_assimilation (g d⁻¹),transpiration (g d⁻¹),vapor_pressure_deficit (kPa),conductance (mol bar⁻¹ m⁻² s⁻¹),dry_yield (g m⁻²),fresh_yield (g m⁻²),BMC,SLA (cm² g⁻¹),LMA (g cm⁻²),DAP (d),date
2014-09-05T05:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09190668135496842,0.0,0.275,10.0,0.01828234199905204,0.1830933186450316,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09190668135496842,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.1830933186450316,0.275,0.0,55.49999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.020570545901412017,0.10340965110251489,0.0,0.0,0.10340965110251489,0.0,0.9985258956661632,0.2,false,0.0,0.19970517913323266,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.6799707707667466e-15,0.9999999999999968,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.5852588303215256,0.0,5.100820815200731,34.0054721013382,0.85,NaN,NaN,0,2014-09-05
2014-09-05T15:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09952432385457344,0.0,0.275,10.0,0.016861388300834987,0.17547567614542658,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09952432385457344,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.17547567614542658,0.275,0.0,55.49999999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.018971746728173127,0.1119807118947699,0.0,0.0,0.1119807118947699,0.0,0.960896043897332,0.2,false,0.0,0.1921792087794664,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,2.5609069879293534e-16,0.9999999999999961,1.5,0.0,0.0,0.0,0.0,502.3429202196821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9278467451908726,0.0,5.523599973928804,36.82399982619202,0.85,NaN,NaN,0,2014-09-05
2014-09-06T01:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10654990231325466,0.0,0.275,10.0,0.01601441528943537,0.16845009768674535,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10654990231325466,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.16845009768674535,0.275,0.0,55.49999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.018018767224280443,0.11988560636484202,0.0,0.0,0.11988560636484202,0.0,0.9506919562146076,0.2,false,0.0,0.19013839124292153,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.9374283247908045e-16,0.999999999999996,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.7977695618264369,0.0,5.9135195783856105,39.42346385590407,0.85,NaN,NaN,0,2014-09-06
2014-09-06T11:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1132225753505194,0.0,0.275,10.0,0.015892669056845866,0.1617774246494806,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1132225753505194,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.1617774246494806,0.275,0.0,55.49999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.0178817833265973,0.12739342604162554,0.0,0.0,0.12739342604162554,0.0,0.9823786657056844,0.2,false,0.0,0.1964757331411369,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,5.454066558193336e-16,0.9999999999999959,1.5,0.0,0.0,0.0,0.0,60.343237509095175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7567253365923037,0.0,6.283852931953801,41.892352879692,0.85,NaN,NaN,0,2014-09-06
2014-09-06T21:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11984452079087185,0.0,0.275,10.0,0.014766680025316826,0.15515547920912817,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11984452079087185,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.15515547920912817,0.275,0.0,55.49999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.016614866371496277,0.1348441690943744,0.0,0.0,0.1348441690943744,0.0,0.9517343570840562,0.2,false,0.0,0.19034687141681125,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.9904514810520789e-16,0.9999999999999957,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6236444167659143,0.0,6.651370903893358,44.34247269262238,0.85,NaN,NaN,0,2014-09-06
2014-09-07T07:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12599730413475385,0.0,0.275,10.0,0.014777215444837694,0.14900269586524617,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12599730413475385,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.14900269586524617,0.275,0.0,55.49999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.016626720396043893,0.14176703008249786,0.0,0.0,0.14176703008249786,0.0,0.9917414821945094,0.2,false,0.0,0.1983482964389019,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,8.947386584416053e-16,0.9999999999999956,1.5,0.0,0.0,0.0,0.0,0.605401011847776,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.41668455791764875,0.0,6.992850379478807,46.61900252985871,0.85,NaN,NaN,0,2014-09-07
2014-09-07T17:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13215447723676957,0.0,0.275,10.0,0.01320924513720621,0.14284552276323045,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13215447723676957,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.14284552276323045,0.275,0.0,55.49999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.014862504127315466,0.14869483024751615,0.0,0.0,0.14869483024751615,0.0,0.9247223771304908,0.2,false,0.0,0.18494447542609815,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.0696820854292561e-16,0.9999999999999952,1.5,0.0,0.0,0.0,0.0,752.3627867089168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629349739590999,0.0,7.334573486640676,48.8971565776045,0.85,NaN,NaN,0,2014-09-07
2014-09-08T03:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13765832937727215,0.0,0.275,10.0,0.013469262259905301,0.13734167062272787,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13765832937727215,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.13734167062272787,0.275,0.0,55.49999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.015155064793662921,0.15488754030056426,0.0,0.0,0.15488754030056426,0.0,0.980711986306387,0.2,false,0.0,0.1961423972612774,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,5.075177440209534e-16,0.9999999999999952,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.7273086399147289,0.0,7.640037280438569,50.93358186959045,0.85,NaN,NaN,0,2014-09-08
2014-09-08T13:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14327052198556603,0.0,0.275,10.0,0.012768774130758116,0.131729478014434,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14327052198556603,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.131729478014434,0.275,0.0,55.49999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.014366904107534004,0.16120215063125715,0.0,0.0,0.16120215063125715,0.0,0.96931790235736,0.2,false,0.0,0.193863580471472,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,3.32464030033238e-16,0.999999999999995,1.5,0.0,0.0,0.0,0.0,269.49397259938627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803719322129877,0.0,7.951513970198875,53.01009313465916,0.85,NaN,NaN,0,2014-09-08
2014-09-08T23:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485908445400486,0.0,0.275,10.0,0.01165014608515619,0.12640915545995143,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485908445400486,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.12640915545995143,0.275,0.0,55.499999999999716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.013108269433712981,0.167188360676063,0.0,0.0,0.167188360676063,0.0,0.9216220172317465,0.2,false,0.0,0.18432440344634932,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.0043710130359795e-16,0.9999999999999949,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.8832901044814481,0.0,8.246791871972654,54.978612479817684,0.85,NaN,NaN,0,2014-09-08
