Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,29.319997791,0 h 0 m 29 s,1444.387702187623,1112.5048802107417,26.025201345128128
Linear,29.283004083,0 h 0 m 29 s,1439.720979296098,1112.5135092143473,25.941107507682442
Noise,29.25902325,0 h 0 m 29 s,1418.5968367184505,1112.4215298409692,25.560499195655712
Spline,29.249440417,0 h 0 m 29 s,1436.1131042902816,1112.276603525906,25.87606872518321
