Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,296.69544475,0 h 4 m 57 s,1444.9120944987726,1112.5158699761573,26.034649926987576
Linear,290.356982542,0 h 4 m 50 s,1439.7567698501564,1112.4823464390722,25.94175215016758
Noise,290.000103667,0 h 4 m 50 s,1415.957032163795,1112.5930720168026,25.512945494468113
Spline,289.822450625,0 h 4 m 50 s,1435.6479864548087,1112.2457319778175,25.86768104110499
