Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,310.951225541,0 h 5 m 11 s,956.8902769870181,1060.769447355474,17.24309009653568
Linear,309.778090209,0 h 5 m 10 s,953.2897081641471,1060.5502834119386,17.178159264480623
Noise,297.857221958,0 h 4 m 58 s,938.2135613936694,1059.6976396616774,16.906706451586825
Spline,290.561925833,0 h 4 m 51 s,953.442868758485,1061.4244242310024,17.180729001923066
