Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,287.901686375,0 h 4 m 48 s,1300.6223850836507,972.78773235785,23.435006567125537
Linear,287.405591166,0 h 4 m 47 s,1294.6709263593261,972.6460748634929,23.32776567300861
Noise,287.363982667,0 h 4 m 47 s,1273.8470193177466,972.847051780663,22.952590684354234
Spline,287.064545625,0 h 4 m 47 s,1290.6733683620273,973.159663903939,23.255712436671413
