Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,290.323223916,0 h 4 m 50 s,1328.1369942362455,1048.7195580113519,23.93056673583605
Linear,288.873586625,0 h 4 m 49 s,1322.8339476633832,1048.7101621825655,23.835009539452965
Noise,288.046553042,0 h 4 m 48 s,1301.2092988285876,1048.9997666748147,23.4453909589008
Spline,287.626872041,0 h 4 m 48 s,1319.6426115733966,1049.352706695237,23.777478833186635
