Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,290.549261542,0 h 4 m 51 s,1316.9947412642284,1039.5368921839274,23.72971774880156
Linear,298.140470209,0 h 4 m 58 s,1311.772016156568,1039.7270439717327,23.635612725399053
Noise,302.807118667,0 h 5 m 3 s,1290.1333821514077,1039.9433146430329,23.24573430701538
Spline,298.055193958,0 h 4 m 58 s,1309.2447549964902,1040.507497194623,23.590065659894023
