Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,288.01684625,0 h 4 m 48 s,1262.0508666419767,1029.5748799110063,22.739772625688772
Linear,288.127259625,0 h 4 m 48 s,1257.0784386629068,1029.5807261324821,22.650177012373756
Noise,287.670074292,0 h 4 m 48 s,1236.061066614011,1029.745013510955,22.27149554445465
Spline,287.50870625,0 h 4 m 48 s,1255.7796016638433,1030.834419093799,22.62677173653256
