Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,291.917104625,0 h 4 m 52 s,1215.7438678994188,973.7393487257318,21.90573735695488
Linear,291.359267667,0 h 4 m 51 s,1210.2423618764637,973.7827347714328,21.80659642749644
Noise,289.063716458,0 h 4 m 49 s,1190.2424249782482,973.7125720592913,21.44627346968818
Spline,287.810799791,0 h 4 m 48 s,1206.0288046474407,974.1159230449693,21.730595049486045
