Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,289.31663725,0 h 4 m 49 s,1300.4618149985629,1055.1296594424543,23.431940831912396
Linear,289.209112958,0 h 4 m 49 s,1295.063556090189,1055.1472981564937,23.334670357029513
Noise,289.221712542,0 h 4 m 49 s,1273.9625417607588,1055.3786639699301,22.954489016523627
Spline,288.129130833,0 h 4 m 48 s,1289.6789705585127,1055.645016291035,23.23763424065091
