Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,291.644019417,0 h 4 m 52 s,1170.5452726199726,1041.7881613778736,21.090991294021713
Linear,290.700633917,0 h 4 m 51 s,1166.0275736791677,1041.7469146267479,21.009589302856085
Noise,290.122960667,0 h 4 m 50 s,1147.3585033294332,1041.8661925434008,20.67321703142412
Spline,290.575544708,0 h 4 m 51 s,1162.7271878212691,1042.6763782218736,20.950123559952097
