Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,61.6774605,0 h 1 m 2 s,1215.5688409788613,973.7548892171654,21.90258365507447
Linear,60.29071875,0 h 1 m 0 s,1210.3688409942124,973.8209460328724,21.80887546171238
Noise,63.211881583,0 h 1 m 3 s,1190.9007031611677,973.8219729714613,21.45813873936041
Spline,60.203821125,0 h 1 m 0 s,1206.375656492873,974.1193697680715,21.73685101079631
