Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,59.34794375,0 h 0 m 59 s,1300.2817563485073,972.8125014809904,23.42886901583109
Linear,59.421946041,0 h 0 m 59 s,1294.6501371239353,972.6683995117644,23.32739112528973
Noise,59.32471025,0 h 0 m 59 s,1274.6982453464348,973.021191294994,22.967929428154886
Spline,59.583844125,0 h 1 m 0 s,1290.7943447846556,973.1679552492019,23.257894240407833
