Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,59.658370916,0 h 1 m 0 s,1300.0448688916451,1055.132617480944,23.42442822648877
Linear,58.900274666,0 h 0 m 59 s,1294.9176109876303,1055.1826014430756,23.3320407195112
Noise,59.025831208,0 h 0 m 59 s,1274.3421640466252,1055.5642035331207,22.961326398732993
Spline,58.6487405,0 h 0 m 59 s,1289.7948298198958,1055.6549589835724,23.239723131288017
