Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,60.745381208,0 h 1 m 1 s,1327.7668828779917,1048.6889302910552,23.923898015248263
Linear,60.332690167,0 h 1 m 0 s,1322.7547094108709,1048.7087500798464,23.83358185577241
Noise,61.549312291,0 h 1 m 2 s,1302.1101125399487,1049.3269995600979,23.461626819366728
Spline,63.681210209,0 h 1 m 4 s,1319.709305651463,1049.303414252016,23.778682899472443
