Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,59.721709375,0 h 1 m 0 s,1316.7221198177363,1039.5487391769059,23.724805633546747
Linear,60.128278334,0 h 1 m 0 s,1311.7782278730106,1039.7223677201766,23.635724659108796
Noise,60.114769541,0 h 1 m 0 s,1290.7747947727235,1040.0551973005488,23.257293747317362
Spline,61.744372834,0 h 1 m 2 s,1309.2393740426523,1040.4464139714978,23.589969533262806
