Method,Runtime_sec,Runtime_str,DryYield,LeafArea,BulbMass
Hold,65.427145834,0 h 1 m 5 s,1444.5490299224755,1112.51178473577,26.02810817324246
Linear,67.605829042,0 h 1 m 8 s,1439.6505422291116,1112.4758326935196,25.93983818257809
Noise,61.371885375,0 h 1 m 1 s,1416.5278813970597,1112.648572807366,25.52322822211807
Spline,62.194581375,0 h 1 m 2 s,1435.7342770336488,1112.2807599547996,25.86923900516162
